,asset,curr,gran,high,date
2,ETH,EUR,Week,281.94970703125,2017-11-13
9,ETH,EUR,Week,317.1982421875,2017-11-20
16,ETH,EUR,Week,413.8609313964844,2017-11-27
23,ETH,EUR,Week,400.3854064941406,2017-12-04
30,ETH,EUR,Week,439.002197265625,2017-12-11
37,ETH,EUR,Week,682.3357543945312,2017-12-18
44,ETH,EUR,Week,659.0205688476562,2017-12-25
51,ETH,EUR,Week,652.1083374023438,2018-01-01
58,ETH,EUR,Week,1053.492431640625,2018-01-08
65,ETH,EUR,Week,1140.9500732421875,2018-01-15
72,ETH,EUR,Week,888.77099609375,2018-01-22
79,ETH,EUR,Week,1011.5099487304688,2018-01-29
86,ETH,EUR,Week,687.9033203125,2018-02-05
93,ETH,EUR,Week,712.491455078125,2018-02-12
100,ETH,EUR,Week,772.5877075195312,2018-02-19
107,ETH,EUR,Week,715.0682373046875,2018-02-26
114,ETH,EUR,Week,706.4479370117188,2018-03-05
121,ETH,EUR,Week,603.1304931640625,2018-03-12
128,ETH,EUR,Week,452.7092590332031,2018-03-19
135,ETH,EUR,Week,425.8041076660156,2018-03-26
142,ETH,EUR,Week,320.33966064453125,2018-04-02
149,ETH,EUR,Week,349.52447509765625,2018-04-09
156,ETH,EUR,Week,433.0390930175781,2018-04-16
163,ETH,EUR,Week,529.2144165039062,2018-04-23
170,ETH,EUR,Week,572.591552734375,2018-04-30
177,ETH,EUR,Week,665.3494873046875,2018-05-07
184,ETH,EUR,Week,622.4169311523438,2018-05-14
191,ETH,EUR,Week,613.4567260742188,2018-05-21
198,ETH,EUR,Week,491.71917724609375,2018-05-28
205,ETH,EUR,Week,533.8948364257812,2018-06-04
212,ETH,EUR,Week,455.11865234375,2018-06-11
219,ETH,EUR,Week,449.6303405761719,2018-06-18
226,ETH,EUR,Week,402.58837890625,2018-06-25
233,ETH,EUR,Week,412.9007263183594,2018-07-02
240,ETH,EUR,Week,417.7463684082031,2018-07-09
247,ETH,EUR,Week,410.5731506347656,2018-07-16
254,ETH,EUR,Week,400.3118896484375,2018-07-23
261,ETH,EUR,Week,401.64105224609375,2018-07-30
268,ETH,EUR,Week,358.5986022949219,2018-08-06
275,ETH,EUR,Week,284.0907897949219,2018-08-13
282,ETH,EUR,Week,266.2922058105469,2018-08-20
289,ETH,EUR,Week,244.4812469482422,2018-08-27
296,ETH,EUR,Week,254.86376953125,2018-09-03
303,ETH,EUR,Week,174.74508666992188,2018-09-10
310,ETH,EUR,Week,192.87950134277344,2018-09-17
317,ETH,EUR,Week,208.81581115722656,2018-09-24
324,ETH,EUR,Week,201.84913635253906,2018-10-01
331,ETH,EUR,Week,200.80490112304688,2018-10-08
338,ETH,EUR,Week,192.11036682128906,2018-10-15
345,ETH,EUR,Week,180.09747314453125,2018-10-22
352,ETH,EUR,Week,180.34619140625,2018-10-29
359,ETH,EUR,Week,185.08705139160156,2018-11-05
366,ETH,EUR,Week,187.73419189453125,2018-11-12
373,ETH,EUR,Week,155.2615966796875,2018-11-19
380,ETH,EUR,Week,104.25151062011719,2018-11-26
387,ETH,EUR,Week,102.81603240966797,2018-12-03
394,ETH,EUR,Week,84.35114288330078,2018-12-10
401,ETH,EUR,Week,85.25698852539062,2018-12-17
408,ETH,EUR,Week,138.10610961914062,2018-12-24
415,ETH,EUR,Week,122.53599548339844,2018-12-31
422,ETH,EUR,Week,138.87039184570312,2019-01-07
429,ETH,EUR,Week,114.08431243896484,2019-01-14
436,ETH,EUR,Week,105.22675323486328,2019-01-21
443,ETH,EUR,Week,99.59111785888672,2019-01-28
450,ETH,EUR,Week,94.9345932006836,2019-02-04
457,ETH,EUR,Week,110.26655578613281,2019-02-11
464,ETH,EUR,Week,130.56439208984375,2019-02-18
471,ETH,EUR,Week,125.54564666748047,2019-02-25
478,ETH,EUR,Week,116.7486801147461,2019-03-04
485,ETH,EUR,Week,122.27132415771484,2019-03-11
492,ETH,EUR,Week,125.62508392333984,2019-03-18
499,ETH,EUR,Week,121.81658935546875,2019-03-25
506,ETH,EUR,Week,127.16870880126953,2019-04-01
513,ETH,EUR,Week,164.30628967285156,2019-04-08
520,ETH,EUR,Week,149.2581329345703,2019-04-15
527,ETH,EUR,Week,153.71998596191406,2019-04-22
534,ETH,EUR,Week,141.90090942382812,2019-04-29
541,ETH,EUR,Week,156.9230194091797,2019-05-06
548,ETH,EUR,Week,182.60964965820312,2019-05-13
555,ETH,EUR,Week,234.27041625976562,2019-05-20
562,ETH,EUR,Week,248.8376007080078,2019-05-27
569,ETH,EUR,Week,241.8733367919922,2019-06-03
576,ETH,EUR,Week,218.8444366455078,2019-06-10
583,ETH,EUR,Week,245.44273376464844,2019-06-17
590,ETH,EUR,Week,274.1889343261719,2019-06-24
597,ETH,EUR,Week,265.1628112792969,2019-07-01
604,ETH,EUR,Week,280.2254333496094,2019-07-08
611,ETH,EUR,Week,208.76458740234375,2019-07-15
618,ETH,EUR,Week,202.22189331054688,2019-07-22
625,ETH,EUR,Week,192.23719787597656,2019-07-29
632,ETH,EUR,Week,210.8313751220703,2019-08-05
639,ETH,EUR,Week,192.83807373046875,2019-08-12
646,ETH,EUR,Week,183.6723175048828,2019-08-19
653,ETH,EUR,Week,173.6070098876953,2019-08-26
660,ETH,EUR,Week,164.23695373535156,2019-09-02
667,ETH,EUR,Week,166.92835998535156,2019-09-09
674,ETH,EUR,Week,180.1290740966797,2019-09-16
681,ETH,EUR,Week,192.26644897460938,2019-09-23
688,ETH,EUR,Week,165.02230834960938,2019-09-30
695,ETH,EUR,Week,166.21142578125,2019-10-07
702,ETH,EUR,Week,169.8397979736328,2019-10-14
709,ETH,EUR,Week,159.20326232910156,2019-10-21
716,ETH,EUR,Week,169.5637969970703,2019-10-28
723,ETH,EUR,Week,168.95628356933594,2019-11-04
730,ETH,EUR,Week,172.76124572753906,2019-11-11
737,ETH,EUR,Week,168.97897338867188,2019-11-18
744,ETH,EUR,Week,136.40655517578125,2019-11-25
751,ETH,EUR,Week,138.0613555908203,2019-12-02
758,ETH,EUR,Week,137.36985778808594,2019-12-09
765,ETH,EUR,Week,128.74868774414062,2019-12-16
772,ETH,EUR,Week,121.63744354248047,2019-12-23
779,ETH,EUR,Week,122.05593872070312,2019-12-30
786,ETH,EUR,Week,128.52841217041015,2020-01-06
793,ETH,EUR,Week,131.4081704711914,2020-01-13
800,ETH,EUR,Week,151.97241821289063,2020-01-20
807,ETH,EUR,Week,156.32538970947266,2020-01-27
814,ETH,EUR,Week,175.50176727294922,2020-02-03
821,ETH,EUR,Week,209.14317321777344,2020-02-10
828,ETH,EUR,Week,246.62398529052734,2020-02-17
835,ETH,EUR,Week,255.3174935913086,2020-02-24
842,ETH,EUR,Week,209.6103942871094,2020-03-02
849,ETH,EUR,Week,183.24725433349607,2020-03-09
856,ETH,EUR,Week,112.40675842285157,2020-03-16
863,ETH,EUR,Week,127.08698455810547,2020-03-23
870,ETH,EUR,Week,123.21753692626953,2020-03-30
877,ETH,EUR,Week,158.09901641845704,2020-04-06
884,ETH,EUR,Week,147.53360260009765,2020-04-13
891,ETH,EUR,Week,171.71824798583984,2020-04-20
898,ETH,EUR,Week,184.9091229248047,2020-04-27
905,ETH,EUR,Week,192.99684387207031,2020-05-04
912,ETH,EUR,Week,178.28004241943358,2020-05-11
919,ETH,EUR,Week,200.26385498046875,2020-05-18
926,ETH,EUR,Week,190.69138275146486,2020-05-25
933,ETH,EUR,Week,224.01878356933594,2020-06-01
940,ETH,EUR,Week,219.32435760498046,2020-06-08
947,ETH,EUR,Week,207.59667449951172,2020-06-15
954,ETH,EUR,Week,217.76179626464844,2020-06-22
961,ETH,EUR,Week,205.23352966308593,2020-06-29
968,ETH,EUR,Week,214.3995083618164,2020-07-06
975,ETH,EUR,Week,216.8207550048828,2020-07-13
982,ETH,EUR,Week,210.00779571533204,2020-07-20
989,ETH,EUR,Week,281.2222534179688,2020-07-27
996,ETH,EUR,Week,338.8556164550781,2020-08-03
1003,ETH,EUR,Week,339.6666717529297,2020-08-10
1010,ETH,EUR,Week,375.2896887207031,2020-08-17
1017,ETH,EUR,Week,348.4112268066406,2020-08-24
1024,ETH,EUR,Week,368.8113708496094,2020-08-31
1031,ETH,EUR,Week,303.4682342529297,2020-09-07
1038,ETH,EUR,Week,324.52348266601564,2020-09-14
1045,ETH,EUR,Week,317.9459405517578,2020-09-21
1052,ETH,EUR,Week,315.58812805175785,2020-09-28
1059,ETH,EUR,Week,303.6014685058594,2020-10-05
1066,ETH,EUR,Week,334.73130798339844,2020-10-12
1073,ETH,EUR,Week,325.74405395507813,2020-10-19
1080,ETH,EUR,Week,347.9707891845703,2020-10-26
1087,ETH,EUR,Week,347.07884094238284,2020-11-02
1094,ETH,EUR,Week,385.56940002441405,2020-11-09
1101,ETH,EUR,Week,392.7291064453125,2020-11-16
1108,ETH,EUR,Week,516.4344616699218,2020-11-23
1115,ETH,EUR,Week,515.3064880371094,2020-11-30
1122,ETH,EUR,Week,498.63287048339845,2020-12-07
1129,ETH,EUR,Week,487.2301330566406,2020-12-14
1136,ETH,EUR,Week,531.7174255371094,2020-12-21
1143,ETH,EUR,Week,612.047255859375,2020-12-28
1150,ETH,EUR,Week,924.0986303710938,2021-01-04
1157,ETH,EUR,Week,1027.1860131835938,2021-01-11
1164,ETH,EUR,Week,1043.2375659179688,2021-01-18
1171,ETH,EUR,Week,1208.4640478515626,2021-01-25
1178,ETH,EUR,Week,1140.1631958007813,2021-02-01
1185,ETH,EUR,Week,1472.9458081054686,2021-02-08
1192,ETH,EUR,Week,1514.8656103515625,2021-02-15
1199,ETH,EUR,Week,1598.4160815429686,2021-02-22
1206,ETH,EUR,Week,1304.4117822265625,2021-03-01
1213,ETH,EUR,Week,1550.8043554687501,2021-03-08
1220,ETH,EUR,Week,1578.5556494140624,2021-03-15
1227,ETH,EUR,Week,1520.4861279296874,2021-03-22
1234,ETH,EUR,Week,1560.0710986328127,2021-03-29
1241,ETH,EUR,Week,1808.7447314453125,2021-04-05
1248,ETH,EUR,Week,1850.6869995117188,2021-04-12
1255,ETH,EUR,Week,1910.0032763671875,2021-04-19
1262,ETH,EUR,Week,2103.3521728515625,2021-04-26
1269,ETH,EUR,Week,2865.157724609375,2021-05-03
1276,ETH,EUR,Week,3461.4177587890626,2021-05-10
1283,ETH,EUR,Week,2956.481220703125,2021-05-17
1290,ETH,EUR,Week,2193.9241943359375,2021-05-24
1297,ETH,EUR,Week,2222.043212890625,2021-05-31
1304,ETH,EUR,Week,2341.4310595703128,2021-06-07
1311,ETH,EUR,Week,2151.2528466796875,2021-06-14
1318,ETH,EUR,Week,1903.623662109375,2021-06-21
1325,ETH,EUR,Week,1796.5856762695312,2021-06-28
1332,ETH,EUR,Week,1958.047666015625,2021-07-05
1339,ETH,EUR,Week,1826.8134204101561,2021-07-12
1346,ETH,EUR,Week,1635.4263818359375,2021-07-19
1353,ETH,EUR,Week,2063.148623046875,2021-07-26
1360,ETH,EUR,Week,2258.9642333984375,2021-08-02
1367,ETH,EUR,Week,2730.6594580078126,2021-08-09
1374,ETH,EUR,Week,2841.237075195312,2021-08-16
1381,ETH,EUR,Week,2885.044033203125,2021-08-23
1388,ETH,EUR,Week,2846.4464111328125,2021-08-30
1395,ETH,EUR,Week,3355.737958984375,2021-09-06
1402,ETH,EUR,Week,2913.488090820312,2021-09-13
1409,ETH,EUR,Week,2857.2488085937503,2021-09-20
1416,ETH,EUR,Week,2706.3616650390622,2021-09-27
1423,ETH,EUR,Week,2952.9632275390622,2021-10-04
1430,ETH,EUR,Week,3132.281303710937,2021-10-11
1437,ETH,EUR,Week,3354.2304736328124,2021-10-18
1444,ETH,EUR,Week,3651.685737304688,2021-10-25
1451,ETH,EUR,Week,3792.778896484375,2021-11-01
1458,ETH,EUR,Week,4163.020634765625,2021-11-08
1465,ETH,EUR,Week,4167.189726562499,2021-11-15
1472,ETH,EUR,Week,3824.3594677734372,2021-11-22
1479,ETH,EUR,Week,3956.7321142578126,2021-11-29
1486,ETH,EUR,Week,3880.04908203125,2021-12-06
1493,ETH,EUR,Week,3665.6241796875,2021-12-13
1500,ETH,EUR,Week,3540.203125,2021-12-20
1507,ETH,EUR,Week,3644.8697900390625,2021-12-27
1514,ETH,EUR,Week,3392.449521484375,2022-01-03
1521,ETH,EUR,Week,2804.3830126953126,2022-01-10
1528,ETH,EUR,Week,2943.8572998046875,2022-01-17
1535,ETH,EUR,Week,2240.9878857421872,2022-01-24
1542,ETH,EUR,Week,2406.8941650390625,2022-01-31
1549,ETH,EUR,Week,2788.187265625,2022-02-07
1556,ETH,EUR,Week,2619.812514648437,2022-02-14
1563,ETH,EUR,Week,2423.84251953125,2022-02-21
1570,ETH,EUR,Week,2619.4502001953124,2022-02-28
1577,ETH,EUR,Week,2423.9010009765625,2022-03-07
1584,ETH,EUR,Week,2380.5416650390625,2022-03-14
1591,ETH,EUR,Week,2677.8352880859375,2022-03-21
1598,ETH,EUR,Week,3122.9798583984375,2022-03-28
1605,ETH,EUR,Week,3229.0134033203126,2022-04-04
1612,ETH,EUR,Week,2952.5628271484375,2022-04-11
1619,ETH,EUR,Week,2847.481948242187,2022-04-18
1626,ETH,EUR,Week,2822.087685546875,2022-04-25
1633,ETH,EUR,Week,2739.4186767578126,2022-05-02
1640,ETH,EUR,Week,2404.6142578125,2022-05-09
1647,ETH,EUR,Week,2063.4412890625,2022-05-16
1654,ETH,EUR,Week,1957.201999511719,2022-05-23
1661,ETH,EUR,Week,1864.529013671875,2022-05-30
1668,ETH,EUR,Week,1789.2518359375,2022-06-06
1675,ETH,EUR,Week,1383.41947265625,2022-06-13
1682,ETH,EUR,Week,1106.2472436523437,2022-06-20
1689,ETH,EUR,Week,1168.8234838867188,2022-06-27
1696,ETH,EUR,Week,1108.4299243164064,2022-07-04
1703,ETH,EUR,Week,1152.2972705078125,2022-07-11
1710,ETH,EUR,Week,1564.6456176757813,2022-07-18
1717,ETH,EUR,Week,1576.6561328125,2022-07-25
1724,ETH,EUR,Week,1664.2820141601562,2022-08-01
1731,ETH,EUR,Week,1777.3694458007812,2022-08-08
1738,ETH,EUR,Week,1961.1473022460937,2022-08-15
1745,ETH,EUR,Week,1635.7531616210938,2022-08-22
1752,ETH,EUR,Week,1558.3666967773438,2022-08-29
1759,ETH,EUR,Week,1634.8848266601562,2022-09-05
1766,ETH,EUR,Week,1764.314812011719,2022-09-12
1773,ETH,EUR,Week,1387.4433911132812,2022-09-19
1780,ETH,EUR,Week,1390.3423608398439,2022-09-26
1787,ETH,EUR,Week,1355.7148071289062,2022-10-03
1794,ETH,EUR,Week,1372.4928686523438,2022-10-10
1801,ETH,EUR,Week,1361.8462670898439,2022-10-17
1808,ETH,EUR,Week,1390.2375415039064,2022-10-24
1815,ETH,EUR,Week,1643.38740234375,2022-10-31
1822,ETH,EUR,Week,1603.4322680664063,2022-11-07
1829,ETH,EUR,Week,1247.9162377929688,2022-11-14
1836,ETH,EUR,Week,1111.378564453125,2022-11-21
1843,ETH,EUR,Week,1154.66791015625,2022-11-28
1850,ETH,EUR,Week,1237.0022290039062,2022-12-05
1857,ETH,EUR,Week,1212.3554321289062,2022-12-12
1864,ETH,EUR,Week,1126.8343310546875,2022-12-19
1871,ETH,EUR,Week,1153.1779150390626,2022-12-26
1878,ETH,EUR,Week,1143.72384765625,2023-01-02
1885,ETH,EUR,Week,1250.4581396484375,2023-01-09
1892,ETH,EUR,Week,1478.2765454101564,2023-01-16
1899,ETH,EUR,Week,1511.9826928710936,2023-01-23
1906,ETH,EUR,Week,1515.1205639648438,2023-01-30
1913,ETH,EUR,Week,1542.9284838867188,2023-02-06
1920,ETH,EUR,Week,1427.9694262695311,2023-02-13
1927,ETH,EUR,Week,1608.0355224609375,2023-02-20
1934,ETH,EUR,Week,1575.7717309570312,2023-02-27
1941,ETH,EUR,Week,1484.394072265625,2023-03-06
1948,ETH,EUR,Week,1545.0993627929688,2023-03-13
1955,ETH,EUR,Week,1713.3412158203125,2023-03-20
1962,ETH,EUR,Week,1664.1796191406252,2023-03-27
1969,ETH,EUR,Week,1686.2759521484375,2023-04-03
1976,ETH,EUR,Week,1741.8681225585938,2023-04-10
1983,ETH,EUR,Week,1941.822041015625,2023-04-17
1990,ETH,EUR,Week,1710.9335913085938,2023-04-24
1997,ETH,EUR,Week,1729.8529296875,2023-05-01
2004,ETH,EUR,Week,1720.3579370117186,2023-05-08
2011,ETH,EUR,Week,1685.4660693359374,2023-05-15
2018,ETH,EUR,Week,1691.39111328125,2023-05-22
2025,ETH,EUR,Week,1792.4451416015625,2023-05-29
2032,ETH,EUR,Week,1777.2044384765625,2023-06-05
2039,ETH,EUR,Week,1649.1646240234375,2023-06-12
2046,ETH,EUR,Week,1601.4278662109375,2023-06-19
2053,ETH,EUR,Week,1760.41640625,2023-06-26
2060,ETH,EUR,Week,1805.3513061523438,2023-07-03
2067,ETH,EUR,Week,1724.0906958007813,2023-07-10
2074,ETH,EUR,Week,1729.1619873046875,2023-07-17
2081,ETH,EUR,Week,1708.0936499023437,2023-07-24
2088,ETH,EUR,Week,1708.646435546875,2023-07-31
2095,ETH,EUR,Week,1683.3957397460938,2023-08-07
2102,ETH,EUR,Week,1710.3494067382812,2023-08-14
2109,ETH,EUR,Week,1562.4100878906252,2023-08-21
2116,ETH,EUR,Week,1539.5160107421875,2023-08-28
2123,ETH,EUR,Week,1527.8724389648437,2023-09-04
2130,ETH,EUR,Week,1520.4713598632811,2023-09-11
2137,ETH,EUR,Week,1549.7010668945313,2023-09-18
2144,ETH,EUR,Week,1503.6802978515625,2023-09-25
2151,ETH,EUR,Week,1653.8984985351562,2023-10-02
2158,ETH,EUR,Week,1550.5270458984373,2023-10-09
2165,ETH,EUR,Week,1523.712890625,2023-10-16
2172,ETH,EUR,Week,1630.64708984375,2023-10-23
2179,ETH,EUR,Week,1721.3375805664064,2023-10-30
2186,ETH,EUR,Week,1782.628935546875,2023-11-06
2193,ETH,EUR,Week,1957.5951831054688,2023-11-13
2200,ETH,EUR,Week,1869.1006372070312,2023-11-20
2207,ETH,EUR,Week,1901.8885864257813,2023-11-27
2214,ETH,EUR,Week,2063.97509765625,2023-12-04
2221,ETH,EUR,Week,2199.9363525390627,2023-12-11
2228,ETH,EUR,Week,2047.5057666015625,2023-12-18
2235,ETH,EUR,Week,2108.39546875,2023-12-25
2242,ETH,EUR,Week,2116.5987353515625,2024-01-01
2249,ETH,EUR,Week,2108.2250390625,2024-01-08
2256,ETH,EUR,Week,2342.457504882813,2024-01-15
2263,ETH,EUR,Week,2268.4272265625,2024-01-22
2270,ETH,EUR,Week,2134.523178710938,2024-01-29
2277,ETH,EUR,Week,2155.7660400390623,2024-02-05
2284,ETH,EUR,Week,2412.221494140625,2024-02-12
2291,ETH,EUR,Week,2727.929482421875,2024-02-19
2298,ETH,EUR,Week,2912.992978515625,2024-02-26
2305,ETH,EUR,Week,3287.79822265625,2024-03-04
2312,ETH,EUR,Week,3676.358076171875,2024-03-11
2319,ETH,EUR,Week,3364.9719140625,2024-03-18
2326,ETH,EUR,Week,3296.751220703125,2024-03-25
2333,ETH,EUR,Week,3382.93458984375,2024-04-01
2340,ETH,EUR,Week,3303.8592529296875,2024-04-08
2347,ETH,EUR,Week,3032.7887890624997,2024-04-15
2354,ETH,EUR,Week,3017.656259765625,2024-04-22
2361,ETH,EUR,Week,3101.5472998046876,2024-04-29
2368,ETH,EUR,Week,2967.238974609375,2024-05-06
2375,ETH,EUR,Week,2757.9803076171875,2024-05-13
2382,ETH,EUR,Week,3114.2550048828125,2024-05-20
2389,ETH,EUR,Week,3617.6843701171874,2024-05-27
2396,ETH,EUR,Week,3537.82712890625,2024-06-03
2403,ETH,EUR,Week,3454.0194140625,2024-06-10
2410,ETH,EUR,Week,3401.69681640625,2024-06-17
2417,ETH,EUR,Week,3250.6978759765625,2024-06-24
2424,ETH,EUR,Week,3245.126611328125,2024-07-01
2431,ETH,EUR,Week,2845.219912109375,2024-07-08
2438,ETH,EUR,Week,3104.9852490234375,2024-07-15
2445,ETH,EUR,Week,3258.167294921875,2024-07-22
2452,ETH,EUR,Week,3077.020712890625,2024-07-29
2459,ETH,EUR,Week,2581.985053710938,2024-08-05
2466,ETH,EUR,Week,2503.179140625,2024-08-12
2473,ETH,EUR,Week,2417.1103955078124,2024-08-19
2480,ETH,EUR,Week,2478.82935546875,2024-08-26
2487,ETH,EUR,Week,2295.9196484374997,2024-09-02
2494,ETH,EUR,Week,2130.87564453125,2024-09-09
2501,ETH,EUR,Week,2146.995361328125,2024-09-16
2508,ETH,EUR,Week,2393.4256054687503,2024-09-23
2515,ETH,EUR,Week,2393.4430712890626,2024-09-30
2522,ETH,EUR,Week,2267.1655908203124,2024-10-07
2529,ETH,EUR,Week,2349.3448974609373,2024-10-14
2536,ETH,EUR,Week,2539.986552734375,2024-10-21
2543,ETH,EUR,Week,2363.12279296875,2024-10-28
2550,ETH,EUR,Week,2291.8454931640626,2024-11-04
2557,ETH,EUR,Week,3093.6133251953124,2024-11-11
2564,ETH,EUR,Week,3020.3092529296873,2024-11-18
2571,ETH,EUR,Week,3347.52283203125,2024-11-25
2578,ETH,EUR,Week,3554.913383789062,2024-12-02
2585,ETH,EUR,Week,3796.0058251953124,2024-12-09
2592,ETH,EUR,Week,3833.7276611328125,2024-12-16
2599,ETH,EUR,Week,3292.6805078125,2024-12-23
2606,ETH,EUR,Week,3276.4346728515625,2024-12-30
2613,ETH,EUR,Week,3582.1954052734372,2025-01-06
2620,ETH,EUR,Week,3239.7901025390624,2025-01-13
2627,ETH,EUR,Week,3346.5492236328128,2025-01-20
2634,ETH,EUR,Week,3154.9598974609376,2025-01-27
2641,ETH,EUR,Week,2940.6047021484374,2025-02-03
2648,ETH,EUR,Week,2611.8038427734373,2025-02-10
2655,ETH,EUR,Week,2658.4903564453125,2025-02-17
2662,ETH,EUR,Week,2712.5512646484376,2025-02-24
2669,ETH,EUR,Week,2438.0764990234375,2025-03-03
2676,ETH,EUR,Week,2013.7058129882812,2025-03-10
2683,ETH,EUR,Week,1782.5559448242188,2025-03-17
2690,ETH,EUR,Week,1901.4829663085939,2025-03-24
2697,ETH,EUR,Week,1707.858701171875,2025-03-31
2704,ETH,EUR,Week,1575.1679125976561,2025-04-07
2711,ETH,EUR,Week,1469.6213232421874,2025-04-14
2718,ETH,EUR,Week,1431.587744140625,2025-04-21
2725,ETH,EUR,Week,1621.4886010742189,2025-04-28
2732,ETH,EUR,Week,1628.5681274414062,2025-05-05
2739,ETH,EUR,Week,2334.3608105468747,2025-05-12
2746,ETH,EUR,Week,2292.2413427734373,2025-05-19
2753,ETH,EUR,Week,2263.779501953125,2025-05-26
2760,ETH,EUR,Week,2264.111342773437,2025-06-02
2767,ETH,EUR,Week,2296.849130859375,2025-06-09
2774,ETH,EUR,Week,2266.7501953125,2025-06-16
2781,ETH,EUR,Week,2056.1197656249997,2025-06-23
2788,ETH,EUR,Week,2151.8885107421875,2025-06-30
2795,ETH,EUR,Week,2208.3853515625,2025-07-07
2802,ETH,EUR,Week,2602.9976806640625,2025-07-14
2809,ETH,EUR,Week,3292.4109716796875,2025-07-21
2816,ETH,EUR,Week,3355.8123876953123,2025-07-28
2823,ETH,EUR,Week,3227.8008447265624,2025-08-04
2830,ETH,EUR,Week,3738.8525830078124,2025-08-11
